type,name,t1,sample_t1,t2,sample_t2,rate,bits,hr,sample_hr,hr_err,r_avg,r_p0,r_p5,r_p10,r_p25,r_p50,r_p75,r_p90,r_p95,r_p99,r_p999,r_p9999,r_p99999,r_p999999,r_p100,w_avg,w_p0,w_p5,w_p10,w_p25,w_p50,w_p75,w_p90,w_p95,w_p99,w_p999,w_p9999,w_p99999,w_p999999,w_p100
test,w66,143,114,286,228,80,12,30.60165,30.17809,1.3841083732413069,-154.92577702933548,-6.340465034454269,-16.180244357262332,-51.815035751316266,-168.23496594713794,-144.28353499209064,-306.0478405265984,-134.8832846416497,-158.22280535551945,-212.87131508016745,-212.87131508016745,-212.87131508016745,-212.87131508016745,-212.87131508016745,-212.87131508016745,-16.68839635257686,-38.04519065262421,-25.826435181793762,-22.878972916398265,-22.642585150417844,-85.16494903067047,-59.20259772723054,-4.613795701540891,-11.610446566306637,1.9528151898501191,0.5778901995917236,6.448853176710804,6.448853176710804,6.448853176710804,6.448853176710804
test,w66,143,114,286,228,80,8,30.60165,29.56621,3.3836084002006355,-42.94113479496966,-25.0153540221255,-88.30329819789188,-91.57453913792871,-245.84623819979012,-220.3305614306635,-42.96411419958628,-16.025845322358958,-100.13818870665554,-93.60758398994837,-93.60758398994837,-93.60758398994837,-93.60758398994837,-93.60758398994837,-93.60758398994837,-39.57737224864008,-6.580457255107896,-31.41381583766757,-27.84286251215126,-30.506684902784222,-336.9779633547249,-233.85565374921384,-4.389186554673718,-5.054742235018312,4.441081647822745,-2.181393797983858,-0.6185587511175039,-0.6185587511175039,-0.6185587511175039,-0.6185587511175039
test,w66,143,114,286,228,80,4,30.60165,30.44546,0.5103973151774454,45.714033772556796,69.90910104752915,4.045480396985254,9.768660032586887,-28.02317560822384,-52.37075773821198,13.939313140351029,81.88311778372811,34.10302083574535,6.852061595738183,6.852061595738183,6.852061595738183,6.852061595738183,6.852061595738183,6.852061595738183,-12.827679595174642,-1.1555367544806527,5.935584694649965,-0.6967609771263508,-2.067303926589585,1.0930514470401385,-17.59180407014444,-3.9693862004382696,-8.724117810399509,-0.5685917156845904,-55.36247827338522,-46.18818736558187,-46.18818736558187,-46.18818736558187,-46.18818736558187
test,w66,143,114,429,343,80,12,41.37858,42.88446,-3.63927423319021,-139.85623732311373,-8.143409387616376,15.013585854236327,14.240169253913814,-98.80144768646569,-159.42271867230863,-447.5345347989027,-129.4422775608588,-14.93777315276149,-69.77119480564963,-69.77119480564963,-69.77119480564963,-69.77119480564963,-69.77119480564963,-69.77119480564963,-9.872654516689874,-10.338875026164096,-14.493137074311614,-11.31368029669256,-8.047052634333301,-16.21732587888505,-50.795765489682864,-3.4654156653808994,-8.780898051547407,1.2283665087416096,3.8200189120106383,9.815953858320201,9.815953858320201,9.815953858320201,9.815953858320201
test,w66,143,114,429,343,80,8,41.37858,41.50162,-0.29735191492797275,-0.7600209453716547,-10.18902925172877,10.371929141376508,12.619079864860414,-16.08863091229847,41.73863021828651,32.67675440575593,-24.259916971916898,-4.996044319599302,-3.097783163699795,-3.097783163699795,-3.097783163699795,-3.097783163699795,-3.097783163699795,-3.097783163699795,-1.9469934587256232,-33.60810534312008,4.710774709602514,3.5521535820315093,4.632341903506706,14.349721009825828,49.59949164602555,-2.114219687095197,-11.703535202813022,-3.989544284043444,-192.7791824519626,-174.52710013963943,-174.52710013963943,-174.52710013963943,-174.52710013963943
test,w66,143,114,429,343,80,4,41.37858,41.43954,-0.14732260024389782,35.35529301789008,70.6510725210359,53.97022719642137,43.679149630855164,52.771501501668624,78.18913191592635,-4.116957691067102,27.46355189695859,47.89753832090691,40.90929634529073,40.90929634529073,40.90929634529073,40.90929634529073,40.90929634529073,40.90929634529073,-4.680210305886132,-33.76991117142246,6.060474125179318,1.6526762086332982,-7.728580419570789,-14.92038899831869,35.69781813501549,-3.584802120720123,-8.049654407696286,-0.6521295762624786,-42.60172529154972,-46.4060618125344,-46.4060618125344,-46.4060618125344,-46.4060618125344
test,w66,286,228,286,228,80,12,38.70069,40.1791,-3.8201127680152385,-118.02853019920708,-12.634933859183294,-49.89238121340994,-1.523222357967218,0.5267569756929885,-123.67590138070639,-367.04298450352707,-124.732552529183,-37.72700807090377,-68.47256203963413,-68.47256203963413,-68.47256203963413,-68.47256203963413,-68.47256203963413,-68.47256203963413,30.46283867032336,1.8904329733828045,2.9956050139339307,2.145811961813619,12.914284407072676,71.2541686831946,56.8606147194848,23.54487111176047,3.893300847431326,2.646560916830009,4.472282375487834,9.865466445059965,9.865466445059965,9.865466445059965,9.865466445059965
test,w66,286,228,286,228,80,8,38.70069,39.1688,-1.2095649974199318,-35.65905672918258,-26.305284672232844,-55.684700986040085,-27.954510267993324,-367.1639418523569,-333.4863109779428,-100.40941892567413,-12.06858998651589,-5.539142365606812,-3.1206379422770185,-3.1206379422770185,-3.1206379422770185,-3.1206379422770185,-3.1206379422770185,-3.1206379422770185,18.09268893443242,-57.49233625273615,-0.7467864515810164,-0.939539344202039,5.026833270968378,1.701088495919956,24.81321764531254,22.798053480738922,3.854273322750933,-0.3977707639528854,0.7090989047869151,-0.5867167600883529,-0.5867167600883529,-0.5867167600883529,-0.5867167600883529
test,w66,286,228,286,228,80,4,38.70069,39.90183,-3.103665593559172,62.590378435160275,69.1531158408305,58.86169589541818,50.24058543733818,68.79193960813885,62.266204361107256,55.853843595013565,70.32530247519873,68.9298785191645,63.83737153875176,63.83737153875176,63.83737153875176,63.83737153875176,63.83737153875176,63.83737153875176,20.2627727091318,-26.722485447066617,23.592730023913894,17.54759096331394,18.072383653954564,78.73403751699331,82.71610385193387,18.9358441235586,-15.50543469627668,-8.609571666005873,-54.68489745519612,-46.354657303934786,-46.354657303934786,-46.354657303934786,-46.354657303934786
test,w66,286,114,429,171,40,8,51.61311,45.5879,11.673797606848341,-876.1498717555867,11.735464803593654,-24.65103672584361,3.767975460450646,-577.7026170302771,-100.46447457780215,-1338.729057405371,-1178.3624134466177,-755.836054723623,-728.2630667874843,-728.2630667874843,-728.2630667874843,-728.2630667874843,-728.2630667874843,-728.2630667874843,52.241080040892214,42.1029353399227,24.006420347113664,22.98807367398034,28.448041878631003,92.69580805484343,93.53676050850522,41.137679435568494,26.226253690546223,-1.6915605172760584,-0.5941192764595582,-0.01820439347693175,-0.01820439347693175,-0.01820439347693175,-0.01820439347693175
test,w66,286,114,429,171,40,12,51.61311,44.31729,14.135594619274055,-82.89882685429498,64.27819579681713,60.61498599422363,70.36580357134902,76.8864150735917,93.16350063273346,77.1146621664469,-45.84872720596541,-151.29673212184588,-605.2346315619899,-745.2990564538418,-745.2990564538418,-745.2990564538418,-745.2990564538418,-745.2990564538418,59.93600809677716,26.830468485699683,32.614835587794786,34.931080417534965,46.53649112793299,96.01187446281739,98.68807437366382,63.91298942772907,40.22618613390692,3.830286341143411,-19.96940100374181,-59.72473972158445,-59.72473972158445,-59.72473972158445,-59.72473972158445
